Title,Location,Carbs,Vegs,Misc
Spaghetti alla Puttanesca, ,Spaghetti, ,Anschovis
Tabouleh,,Couscous,Tomaten,
Zuurkool,,Aardappelen,Zuurkool,Ananas
Boerenkool,,Aardappelen,Boerenkool,
,,,,
Fritatta,,,Courgette,Eieren
Gegrilde Little Gems,,,Little gems,
Shepherds Pie,,Aardappelen,Bloemkool,Groene Linzen
Eiercurry,,Naans|Rijst,,Eieren
Gebakken peren met Roquefort,,Ciabatta,Peren|Rucola,Schimmelkaas
Risotto met spinazie en krenten,,Rijst,Spinazie,
,,,,
De dikke vegetarier,,,,
,,,,
Courgettesoep,DDV 156,,Courgette,
Gesmoorde spruiten,DDV 272,,Spruiten,
Pad Thai,Ddd 470,Noedels,Taughe,Tofu
Biryani,DDV 512,Rijst,,Tofu
Gele rijst,DDV 513,Rijst,Doperwten,
Thaise Rijst (‘chinees eten’),DDV ?,Rijst,Doperwten,Tofu
Kidneybonen met appels en sherry,DDV56,,Appels,Kidneybonen
Chili non carne,DDV 607,Tacos,,Kidneybonen
Mungbonen met rijst en abrikozen,DDV 611,Rijst,Abrikozen,Mungbonen
Gebakken bonen op zijn Braziliaans,DDV 619,Rijst,Banaan,Kidneybonen
Falafel,DDV 625,Broodjes,,Kikkererwten
Gesmoorde Tempe,DDV 675,Noedels,,Tempe
Tempe met rijst en spinazie,DDV 676,Rijst,Spinazie,Tempe
Pizza met broccoli,DDV727,Pizza,Broccoli,
Focaccia,DDV729,Broodjes,,
,,,,
,,,,
Ottolenghi Simpel,,,,
,,,,
Boontjes in scherpe zoetzure saus,Simpel,Rijst,Sperziebonen,Tofu
Spaghetti a la Corma,Simpel,Spaghetti,Aubergine,
,,,,
Rose Elliot ,,,,
,,,,
Pittige linzen,RE-VB,Naans,,Rode Linzen
Spaghetti met linzen wijn saus,RE-VB,Spaghetti,,Groene Linzen
Linzenburgers,RE-VB,Broodjes,,Groene Linzen
Kikkerwten met Aubergine,RE-VB,Naans,Aubergine,Kikkererwten
Dal met koreander,RE-VB 194,,,
Sticky tofu steaks,RE-VB 201,Rijst,Broccoli,Tofu
Farfalle met tuinbonen en courgettes,RE-VB 213,Farfalle,Tuinbonen|Courgette,
Curry van prei en bloemkool,,Rijst,Bloemkool|Prei,
Ratatouille met balsamico azijn en kappertjes,RE-SUPER 39,Rijst,Courgette|Aubergine|Paprika,
Omeletrolletjes met spinazievulling,RE-SUPER 94,Aardappelen,Spinazie,Roomkaas
Bulgursalade met edamame doperwtjes tuinbonen,RE-V30M,Couscous,Doperwten|Tuinbonen,Yoghurt
Groente curry met bombay aardappesl en dal,RE-V30M 122,Aardappelen,Bloemkool,Rode Linzen
Veenbessen crumble,RE-V30M 194,,,
,,,,
,,,,
Veg!,,,,
,,,,
Spaghetti met pesto en tomaat,VEG!,Spaghetti,Tomaten,Amandelen
Chachouka,VEG!,Naans,Paprika,
Ketchupcurry met kikkererwten,VEG!,Naans,,Kikkererwten
Salade nicoise zonder vis,VEG!,Aardappelen,Sperziebonen,
Veg. Hamburgers met merquez aardappels,VEG!,Aardappelen,,Hamburgers
Salade wortel sinaasappel cashewnoten,VEG!,,Wortel|Sinaasappel,
Salade rode kool sinaasappel dadels,VEG!,,Rode kool,
Kokoscurry met zomergroenten,VEG!+ 68,Aardappelen,Sperziebonen|Little gems|Doperwten,
Biryany met rode kool en cashew noten,VEG!+ 101,Rijst,Rode kool,
Khichri met rijst,VEG!+ 105,Rijst,,Rode Linzen
Kool wortel uien met vinaigrette,VEG!+ 122,Aardappelen,Savoie kool|Wortel,
Risotto met prei en tamme kastanjes,,Rijst,Prei,
,,,,
,,,,
,,,,
,,,,
,,,,
Puur Vegetarisch,,,,
,,,,
Noedels met Komkommer en Radijs,PUURV,Noedels,Komkommer|Radijs,
Vlindertjes met bloemkool,PUURV,Farfalle,Bloemkool,
Bietjes met witlof,PUURV,Aardappelen,Bietjes,
,,,,
Indiase Keuken,,,,
,,,,
Paneer in tomaten saus,INDK,Rijst,,Paneer
